controller,coverage_percent,affected_zone_recall,mean_latency_s,median_latency_s,max_latency_s,missed_zones
PID,100.0,1.0,104.658144446878,106.805150421683,117.926077988677,0
LQR,56.375,0.5,102.473306230507,101.329286910251,137.412122696485,1
Hinf,62.4166666666667,0.5,91.052920484219,90.8863638227541,131.754052192409,1
MPC,88.2083333333333,1.0,96.5925378196543,101.010918984635,139.698322630198,0
SMC,100.0,1.0,101.859732477522,87.0039478676179,139.146830240125,0
