controller,coverage_percent,affected_zone_recall,false_alarm_rate_per_m2,mean_latency_s,median_latency_s,max_latency_s,missed_zones,mean_inference_time_ms,p95_inference_time_ms
PID,81,1,0.06125,94.9072954012406,106.370578524235,109.291952218872,0,82.7205383534137,94.0658
LQR,32.0833333333333,1,0.279583333333333,145.947029843031,150.487532909133,157.725246296132,0,88.6796861445783,111.4977
Hinf,54.3333333333333,1,0.337083333333333,125.887050750752,127.06795878476,138.282285433487,0,82.7590550200803,105.8398
MPC,99.5416666666667,1,0.1575,98.3524676855097,101.765704039233,109.179107934342,0,82.5420419678715,95.7681
SMC,76.5833333333333,1,0.0729166666666667,105.904673145936,103.095223012875,122.051328812953,0,81.5656479919678,92.3736
