trajectory,controller,n,coverage_percent_mean,coverage_percent_std,coverage_percent_ci95,affected_zone_recall_mean,affected_zone_recall_std,affected_zone_recall_ci95,mean_latency_s_mean,mean_latency_s_std,mean_latency_s_ci95,false_alarm_rate_per_m2_mean,false_alarm_rate_per_m2_std,false_alarm_rate_per_m2_ci95
agricultural,PID,10,100,0,0,1,0,0,68.2270843133087,0.858636170936765,0.532188212386907,0.137375,0.0015093586652108,0.000935510192882824
agricultural,LQR,10,55.4875,3.96464165942577,2.4573103590343,0.55,0.158113883008419,0.098,69.818641373568,8.30381189968329,5.14675593746333,0.077875,0.0282920791711596,0.0175356123448439
agricultural,Hinf,10,62.4166666666667,0.456857894538848,0.283163456699265,0.5,0,0,70.7762857264515,6.35534886092226,3.93908603419232,0.125166666666667,0.0380739006877447,0.0235984481337436
agricultural,MPC,10,86.625,1.00385061108848,0.62219305487193,1,0,0,68.3841508894853,3.40473113874339,2.11027422290987,0.07775,0.00394405318873308,0.00244454949269231
agricultural,SMC,10,100,0,0,1,0,0,66.0049589924789,0.269341478091406,0.166939577668536,0.1265,0.00372263679283354,0.00230731418871208
circular,PID,10,81.7916666666667,0.509932215296828,0.316059261516133,1,0,0,70.5011860810023,4.83962512128532,2.99963072730753,0.0700833333333333,0.00199149425877055,0.00123434092975328
circular,LQR,10,31.175,10.6591734386425,6.60662414401235,0.2,0.349602949390051,0.216686152969886,90.1350355992847,8.13277684255848,5.04074731077405,0.0560416666666667,0.0669027215532714,0.0414667364273856
circular,Hinf,10,33.8791666666667,17.6814169075339,10.9590557386163,0.75,0.353553390593274,0.219134661794979,83.5351985189247,11.890574474726,7.36985441348689,0.189291666666667,0.165810654740004,0.102770508543232
circular,MPC,10,90.8958333333333,6.88032201415882,4.26446776562727,0.9,0.210818510677892,0.130666666666667,80.0391093156763,28.181164472556,17.4668667024225,0.0884166666666667,0.024224706804275,0.0150146288336524
circular,SMC,10,70.3375,1.31386980253931,0.814344940488222,1,0,0,62.30637426646,2.79130371368375,1.73006796579933,0.078875,0.00424940990819916,0.00263381154823289
