controller,coverage_percent,affected_zone_recall,false_alarm_rate_per_m2,mean_latency_s,median_latency_s,max_latency_s,missed_zones,mean_inference_time_ms,p95_inference_time_ms
PID,100,1,0.136666666666667,104.658144446878,106.805150421683,117.926077988677,0,82.1731700803213,94.956
LQR,56.375,0.5,0.146666666666667,102.473306230507,101.329286910251,137.412122696485,1,84.3533461847389,104.1207
Hinf,62.4166666666667,0.5,0.104583333333333,91.052920484219,90.8863638227541,131.754052192409,1,82.1986429718875,100.0666
MPC,88.2083333333333,1,0.0825,96.5925378196543,101.010918984635,139.698322630198,0,81.2189506024096,97.1819
SMC,100,1,0.1225,101.859732477522,87.0039478676179,139.146830240125,0,81.151834939759,92.6789
